id,family,nuance,level,difficulty,en,fr,cstl_en,cstl_fr,json_en,json_fr,cstl_verdict_en,cstl_verdict_fr,json_verdict_en,json_verdict_fr
B05,B,mixed_global_local,L4,stressée,"In that year, two events occurred simultaneously and reshaped the company.","Cette année-là, deux événements se sont produits simultanément et ont transformé l'entreprise.",«=»[∙event₁ ↔ ∙event₂]+ → ⟳∙company,"[TIME]: past
«(∙année+Δ) → [(∙événement°deux) «=» (∙événement°deux)] ⟳ (∙entreprise)»","```json
{
  ""agents"": [""events""],
  ""action"": ""reshape"",
  ""object"": [""company""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```","```json
{
  ""agents"": [""événements""],
  ""action"": ""transformer"",
  ""object"": [""entreprise""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""transformation"",
  ""dynamic"": ""reinforce""
}
```",preserved,preserved,preserved,preserved
B06,B,bifurcation,L3,stressée,"At this fork, either the committee approves the merger or the deal collapses entirely.","À cette bifurcation, soit le comité approuve la fusion, soit l'accord s'effondre complètement.","[TIME]: present
│(∙committee ⊃[∙merger] ⟳+) ⊗ (∙deal ↓ ⟳- ∇)","[TIME]: present
∙bifurcation │ [∙comité ⟶ ∙fusion(+)] ⊗ [∙accord ⟳ ∙effondrement°(-)]","```json
{
  ""agents"": [""committee""],
  ""action"": ""approve"",
  ""object"": [""merger"", ""deal""],
  ""time"": ""present"",
  ""modality"": ""IF"",
  ""polarity"": ""neutral"",
  ""tone"": ""declarative"",
  ""relation_type"": ""opposition"",
  ""dynamic"": ""stable""
}
```","```json
{
  ""agents"": [""comité""],
  ""action"": ""approuver"",
  ""object"": [""fusion"", ""accord""],
  ""time"": ""present"",
  ""modality"": ""IF"",
  ""polarity"": ""neutral"",
  ""tone"": ""declarative"",
  ""relation_type"": ""opposition"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,partial,partial
C01,C,obligation_simple,L1,naturelle,Employees must submit their expense reports before the end of the month.,Les employés doivent soumettre leurs notes de frais avant la fin du mois.,"[TIME]: present
[STATE]: active

[MUST] ∙employees ⟶ ∙expense_reports → ∙submission(+) « ∙month_end","[TIME]: present
∙employés [MUST] → ∙soumission(∙notes_de_frais) » ∙fin_du_mois","{""agents"":[""Employees""],""action"":""submit"",""object"":[""expense reports""],""time"":""future"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"": [""employés""], ""action"": ""soumettre"", ""object"": [""notes de frais""], ""time"": ""future"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""imperative"", ""relation_type"": null, ""dynamic"": null}",preserved,preserved,preserved,preserved
C02,C,permission_simple,L1,naturelle,Students may access the library after registration is confirmed.,Les étudiants peuvent accéder à la bibliothèque après confirmation de leur inscription.,[IF] ∙registration ⟳ confirmed » ∙students [MAY]→ ∙library,"[TIME]: future
[STATE]: conditional

∙étudiants [MAY]→ ∙bibliothèque.accès | ∙inscription.confirmation ⟳ «","```json
{
  ""agents"": [""Students""],
  ""action"": ""access"",
  ""object"": [""library""],
  ""time"": ""future"",
  ""modality"": ""MAY"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": null
}
```","```json
{
  ""agents"": [""étudiants""],
  ""action"": ""accéder"",
  ""object"": [""bibliothèque""],
  ""time"": ""present"",
  ""modality"": ""MAY"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved
C03,C,prohibition,L1,naturelle,Visitors are not permitted to bring food into the laboratory.,Il est interdit aux visiteurs d'apporter de la nourriture dans le laboratoire.,[NOT] ∙visitors ⊃ ∙food → ∙laboratory,[NOT] ∙visiteurs → ∙nourriture → ∙laboratoire ⊃[],"{""agents"":[""Visitors""],""action"":""bring"",""object"":[""food"",""laboratory""],""time"":""present"",""modality"":""NOT"",""polarity"":""negative"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}","```json
{
  ""agents"": [""visiteurs""],
  ""action"": ""apporter"",
  ""object"": [""nourriture"", ""laboratoire""],
  ""time"": ""present"",
  ""modality"": ""NOT"",
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": null,
  ""dynamic"": null
}
```",preserved,lost,preserved,preserved
C04,C,conditional,L2,naturelle,"If the weather improves, the outdoor meeting will proceed as planned.","Si le temps s'améliore, la réunion en extérieur se déroulera comme prévu.","[TIME]: future
[IF] ∙weather ⟳+ → ∙outdoor_meeting »→ ∙planned_state ≡","[TIME]: present
[IF] ∙weather → ⟳+ » ∙outdoor_meeting → ⟳ ≡plan","```json
{
  ""agents"": [""weather""],
  ""action"": ""improve"",
  ""object"": [""meeting""],
  ""time"": ""future"",
  ""modality"": ""IF"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""stable""
}
```","```json
{
  ""agents"": [""temps""],
  ""action"": ""améliorer"",
  ""object"": [""réunion""],
  ""time"": ""future"",
  ""modality"": ""IF"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved
C05,C,conditional_obligation,L3,stressée,"If the motion passes, the committee is required to act within thirty days.","Si la motion est adoptée, le comité est tenu d'agir dans les trente jours.",[IF] ∙motion⟳passed » ∙committee [MUST] ∙act ⊂ ∙thirty_days,[IF] ∙motion⟳adopted → [MUST] ∙committee→∙action [TIME]: »thirty_days,"```json
{
  ""agents"": [""motion""],
  ""action"": ""pass"",
  ""object"": [""committee""],
  ""time"": ""future"",
  ""modality"": ""IF"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```","{""agents"": [""motion""], ""action"": ""adopter"", ""object"": [""comité""], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}",preserved,preserved,preserved,preserved
C06,C,performative_pure,L1,stressée,Sign it now!,Signe maintenant !,"[TIME]: present
(!) ℙ ⟶ ⊃[∙signer → ⟳∙document]+ »","[TIME]: present
∙signer ⟶ ℙ(!) ⊃[∙addressee] =","{""agents"":[""addressee""],""action"":""sign"",""object"":[""it""],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"":[""listener""],""action"":""sign"",""object"":[],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}",preserved,preserved,preserved,preserved
C07,C,modal_pure,L1,stressée,You must sign this document before Friday.,Vous devez signer ce document avant vendredi.,"[TIME]: present
[MUST] ∙you ⊃ ⟳(∙document → ⟶+signed) « ∙Friday","[TIME]: present
∙vous ⊃[∙document → ⟳∙signature] [MUST] » ∙vendredi","{""agents"":[""You""],""action"":""sign"",""object"":[""document""],""time"":""future"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"": [""Vous""], ""action"": ""signer"", ""object"": [""document""], ""time"": ""future"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""imperative"", ""relation_type"": null, ""dynamic"": null}",preserved,preserved,preserved,preserved
C08,C,modal_plus_performative,L2,stressée,You must sign this immediately!,Vous devez signer ceci immédiatement !,"[TIME]: present
∙you ⊃[∙signature] ⟶+[MUST] »∙signing
(!)","[TIME]: present
∙vous ⊃[∙ceci ⟶ ∙signer] [MUST] » ℙ (!)","{""agents"":[""You""],""action"":""sign"",""object"":[],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"": [""Vous""], ""action"": ""signer"", ""object"": [""ceci""], ""time"": ""present"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""imperative"", ""relation_type"": null, ""dynamic"": null}",preserved,preserved,preserved,preserved
C09,C,may_plus_not,L2,stressée,Participants may choose not to answer sensitive questions.,Les participants peuvent choisir de ne pas répondre aux questions sensibles.,[MAY] ∙participants ⊗ ⟶answer ∙questions+sensitive,"[TIME]: present
∙participants ⊃[◉questions∙sensibles] [MAY][NOT]⟶∙répondre","{""agents"":[""Participants""],""action"":""choose"",""object"":[""questions""],""time"":""present"",""modality"":""MAY"",""polarity"":""negative"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}","```json
{
  ""agents"": [""participants""],
  ""action"": ""choisir"",
  ""object"": [""questions""],
  ""time"": ""present"",
  ""modality"": ""MAY"",
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": null,
  ""dynamic"": null
}
```",preserved,preserved,preserved,preserved
C10,C,modal_in_low_trust,L3,stressée,"Even though the source is unreliable, the protocol states that every report must be logged.","Bien que la source soit peu fiable, le protocole prévoit que chaque rapport doit être consigné.","[TRUST]: ∙source(-) ⊗ ∙reliable
[STATE]: ∙protocol ⊃[∙report] [MUST] ∙report → ⟳ ∙logged°","[TRUST]: ∙source(-) ⊗ ≡
[STATE]: ∙protocole ⊃[] [MUST] ∙rapport → ⟳ ∙consignation
[TIME]: present

∙source(-) ⊗ ∙fiabilité | ∙protocole ⊃[] [MUST] (∙rapport° → ⟳ ∙consignation)","{""agents"":[""protocol""],""action"":""state"",""object"":[""report""],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}","```json
{
  ""agents"": [""protocole""],
  ""action"": ""prévoir"",
  ""object"": [""rapport""],
  ""time"": ""present"",
  ""modality"": ""MUST"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,partial,partial
C11,C,nested_conditional,L3,stressée,"If the funding is approved, then if the hiring follows, the lab will open in September.","Si le financement est approuvé, alors si l'embauche suit, le laboratoire ouvrira en septembre.","[TIME]: future
[IF] ∙funding⟳approved → [IF] ∙hiring⟳ → ∙lab⟳open»September","[TIME]: future
[IF] ∙financement »⟳approved → [IF] ∙embauche »→ ∙laboratoire »⟳ouvert Δseptembre","```json
{
  ""agents"": [""lab""],
  ""action"": ""open"",
  ""object"": [],
  ""time"": ""future"",
  ""modality"": ""IF"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""stable""
}
```","```json
{
  ""agents"": [""laboratoire""],
  ""action"": ""ouvrir"",
  ""object"": [],
  ""time"": ""future"",
  ""modality"": ""IF"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved
D01,D,pressure,L6,stressée,Tensions between the two factions keep building toward a breaking point.,Les tensions entre les deux factions continuent de monter vers un point de rupture.,"[TIME]: present
∙tensions ⊗ ∙faction1 ↔ ∙faction2 ↑ → » ℜ (-)","[TIME]: present

∙tensions ⊗ ∙faction₁ ↔ ∙faction₂ = ↑ → » ℜ (-)","{""agents"":[""factions""],""action"":""build"",""object"":[""breaking point""],""time"":""present"",""modality"":null,""polarity"":""negative"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""reinforce""}","```json
{
  ""agents"": [""factions""],
  ""action"": ""monter"",
  ""object"": [""point de rupture""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""opposition"",
  ""dynamic"": ""reinforce""
}
```",preserved,preserved,preserved,preserved
D02,D,resistance,L2,naturelle,The old guard resists every reform proposal the new director brings forward.,La vieille garde résiste à chaque proposition de réforme que le nouveau directeur met en avant.,"[TIME]: present
∙old_guard ⊖→ ∙reform_proposal°+
∙new_director ⊕→ ∙reform_proposal
∙old_guard ⊗ ∙new_director
(-)","[TIME]: present

∙vieille_garde ⊖→ ∙proposition_réforme«
∙nouveau_directeur ⊕→ ∙proposition_réforme»
∙vieille_garde ⊗ ∙nouveau_directeur
∙proposition_réforme ⟲ ∙réforme [IF]","```json
{
  ""agents"": [""old guard""],
  ""action"": ""resist"",
  ""object"": [""reform proposal"", ""new director""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""opposition"",
  ""dynamic"": ""stable""
}
```","```json
{
  ""agents"": [""vieille garde""],
  ""action"": ""résister"",
  ""object"": [""proposition"", ""réforme""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""opposition"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved
D03,D,resonance_similarity,L4,stressée,The twins think exactly the same way and finish each other's sentences.,Les jumeaux pensent exactement de la même manière et finissent les phrases l'un de l'autre.,"[TIME]: present
∙twins ℝ ∙thinking(°exact)
∙twins ↔ ∙sentences ⟳ (+)","[TIME]: present
∙jumeaux◉ ↔°+ ∙jumeaux◉ : ℝ(∙pensée) ≡
∙jumeaux◉ ⟳ ∙phrases∙ : ↔ ℝ (+)","```json
{
  ""agents"": [""twins""],
  ""action"": ""think"",
  ""object"": [""sentences""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""reinforce""
}
```","```json
{
  ""agents"": [""jumeaux""],
  ""action"": ""penser"",
  ""object"": [""phrases""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""reinforce""
}
```",preserved,preserved,preserved,preserved
D04,D,mutual_cooperation,L2,naturelle,Alice and Bob work together on the research project without any ego.,Alice et Bob travaillent ensemble sur le projet de recherche sans aucun ego.,"[TIME]: present
∙Alice ↔+ ∙Bob → ∙research_project
⊗ ∙ego","[TIME]: present
∙Alice ↔+ ∙Bob → ∙projet_recherche°recherche
⊗ ~̃ego(∙Alice, ∙Bob)","{""agents"":[""Alice"",""Bob""],""action"":""work"",""object"":[""research project""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""mutual"",""dynamic"":""stable""}","{""agents"":[""Alice"",""Bob""],""action"":""travailler"",""object"":[""projet de recherche""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""mutual"",""dynamic"":""stable""}",preserved,preserved,preserved,preserved
D05,D,mutual_plus_resonance,L4,stressée,They collaborate daily and share identical values about scientific rigor.,Ils collaborent quotidiennement et partagent des valeurs identiques sur la rigueur scientifique.,"[TIME]: present
∙collaborate ↔ ∙they (+) ≡
∙they → ∙values⁺ ⊗ ∙deviation ℝ ∙scientific_rigor (+) ≡","[TIME]: present

∙collaborer° ↔ ∙ils «=»
∙partager° ↔ ∙ils → ∙valeurs+
∙valeurs+ ⊗ ∙différence ℝ ∙rigueur_scientifique+","{""agents"":[""They""],""action"":""collaborate"",""object"":[],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""mutual"",""dynamic"":""reinforce""}","```json
{
  ""agents"": [""Ils""],
  ""action"": ""collaborer"",
  ""object"": [""valeurs"", ""rigueur scientifique""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""reinforce""
}
```",preserved,preserved,preserved,partial
D06,D,rupture,L3,naturelle,The betrayal ended their partnership immediately and without possibility of repair.,La trahison a mis fin à leur partenariat immédiatement et sans possibilité de réparation.,"[TIME]: past
[STATE]: ℜ

∙betrayal «⟳» (∙partnership ⊗ ∙partnership) | ℜ° | [NOT][MAY]∙repair","[TIME]: past
∙trahison → ⟳(∙partenariat↓) ⊗ ∙possibilité_réparation | κ« | ℜ(-)","```json
{
  ""agents"": [""betrayal""],
  ""action"": ""end"",
  ""object"": [""partnership""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""weaken""
}
```","```json
{
  ""agents"": [""trahison""],
  ""action"": ""terminer"",
  ""object"": [""partenariat""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""weaken""
}
```",preserved,preserved,preserved,preserved
D07,D,catalysis,L3,stressée,The scandal accelerated reforms that were going to happen anyway.,Le scandale a accéléré des réformes qui allaient se produire de toute façon.,"[TIME]: past
∙scandal ⊕ κ → ∙reforms ⟳ »
∙reforms → ∙reforms ≡ (-)","[TIME]: past

∙scandal κ→ ∙reforms⟳ | ∙reforms »∃ [MAY]°","{""agents"":[""scandal""],""action"":""accelerate"",""object"":[""reforms""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""reinforce""}","```json
{
  ""agents"": [""scandale""],
  ""action"": ""accélérer"",
  ""object"": [""réformes""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```",preserved,preserved,partial,preserved
