id,family,nuance,level,difficulty,en,fr,cstl_v303_en,cstl_v303_fr,cstl_v304_en,cstl_v304_fr,json_en,json_fr,v303_verdict_en,v303_verdict_fr,v304_verdict_en,v304_verdict_fr,json_verdict_en,json_verdict_fr
B05,B,mixed_global_local,L4,stressée,"In that year, two events occurred simultaneously and reshaped the company.","Cette année-là, deux événements se sont produits simultanément et ont transformé l'entreprise.","[TIME]: past

«=»[∙event₁ ↔ ∙event₂] ⟳ ∙company°+","[TIME]: past

«(∙événement₁ ↔ ∙événement₂)» → ⟳∙entreprise","[TIME]: past
∙event₁ ↔ ∙event₂ «=» → ⟳∙company","[TIME]: past
∙événement₁ ↔ ∙événement₂ «=» | (∙événement₁ ⊗ ∙événement₂) → ⟳∙entreprise","{""agents"": [], ""action"": ""occur"", ""object"": [""events"", ""company""], ""time"": ""past"", ""modality"": null, ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""transformation"", ""dynamic"": ""reinforce""}","{""agents"": [""événements""], ""action"": ""transformer"", ""object"": [""entreprise""], ""time"": ""past"", ""modality"": null, ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""transformation"", ""dynamic"": ""reinforce""}",preserved,preserved,preserved,preserved,preserved,preserved
B06,B,bifurcation,L3,stressée,"At this fork, either the committee approves the merger or the deal collapses entirely.","À cette bifurcation, soit le comité approuve la fusion, soit l'accord s'effondre complètement.","```cstl
[TIME]: present
[STATE]: Ωfork

∙committee │ { ∙merger → ⟳approval(+) ⊗ ∙deal → ⟳collapse(-) }
```","[TIME]: present

∙comité │ [∙fusion ⟶ ◉accord(+)] ⊗ [◉accord ⟲ ∙effondrement°(-)]",│ [∙committee →+ ⟳∙merger] ⊗ [∙deal → ⟳∙collapse(-)],│ [∙comité → ⟳∙fusion(+)] ⊗ [∙accord → ⟳∙effondrement(-)] Δ,"{""agents"": [""committee""], ""action"": ""approve"", ""object"": [""merger""], ""time"": ""present"", ""modality"": ""IF"", ""polarity"": ""neutral"", ""tone"": ""declarative"", ""relation_type"": ""opposition"", ""dynamic"": ""stable""}","{""agents"": [""comité""], ""action"": ""approuver"", ""object"": [""fusion""], ""time"": ""present"", ""modality"": ""IF"", ""polarity"": ""neutral"", ""tone"": ""declarative"", ""relation_type"": ""opposition"", ""dynamic"": ""stable""}",preserved,partial,preserved,preserved,partial,preserved
C01,C,obligation_simple,L1,naturelle,Employees must submit their expense reports before the end of the month.,Les employés doivent soumettre leurs notes de frais avant la fin du mois.,"[TIME]: present
[STATE]: directive

∙employees [MUST]→ ∙expense_reports ⟶submit » ∙month_end","[TIME]: present
[STATE]: active

[MUST] ∙employés → ∙notes_de_frais ⟶(soumettre) » ∙fin_du_mois",[MUST] ∙employees ⟶ ∙expense_reports → ⟳∙submitted « ∙end_of_month,[MUST] ∙employés ⟶ ⊃[∙notes_de_frais → ∙soumission] » ∙fin_du_mois,"{""agents"":[""Employees""],""action"":""submit"",""object"":[""expense reports""],""time"":""future"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"":[""employés""],""action"":""soumettre"",""object"":[""notes de frais""],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
C02,C,permission_simple,L1,naturelle,Students may access the library after registration is confirmed.,Les étudiants peuvent accéder à la bibliothèque après confirmation de leur inscription.,[IF] ∙registration ⟳confirmed → [MAY] ∙students ⊕ ∙library,∙étudiants [MAY]→ ∙bibliothèque⊃accéder | ∙inscription⟳+ κ,[MAY] ∙students → ∙library | ⟳∙registration »,[MAY] ∙étudiants → ∙bibliothèque | κ(⟳∙inscription) »,"{""agents"": [""Students""], ""action"": ""access"", ""object"": [""library""], ""time"": ""future"", ""modality"": ""MAY"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""stable""}","{""agents"": [""étudiants""], ""action"": ""accéder"", ""object"": [""bibliothèque""], ""time"": ""present"", ""modality"": ""MAY"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
C03,C,prohibition,L1,naturelle,Visitors are not permitted to bring food into the laboratory.,Il est interdit aux visiteurs d'apporter de la nourriture dans le laboratoire.,[NOT] ∙visitors ⟶ ∙food → ∙laboratory,[NOT] ∙visiteurs → ∙nourriture → ∙laboratoire | ℙ°interdit (-),[NOT] ∙visitors ⊃[∙food → ∙laboratory] ℙ (-),[NOT] ∙visiteurs ⊃[∙nourriture → ∙laboratoire] ℙ (-),"{""agents"":[""Visitors""],""action"":""bring"",""object"":[""food"",""laboratory""],""time"":""present"",""modality"":""NOT"",""polarity"":""negative"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}","{""agents"": [""visiteurs""], ""action"": ""apporter"", ""object"": [""nourriture"", ""laboratoire""], ""time"": ""present"", ""modality"": ""NOT"", ""polarity"": ""negative"", ""tone"": ""declarative"", ""relation_type"": null, ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
C04,C,conditional,L2,naturelle,"If the weather improves, the outdoor meeting will proceed as planned.","Si le temps s'améliore, la réunion en extérieur se déroulera comme prévu.",[IF]∙weather↑⟳ → ∙outdoor_meeting»⟳+,[IF] ∙temps »↑+ → ∙réunion_extérieur ⟳ ∙prévu,[IF] ∙weather ↑ » → ∙meeting(outdoor) ⟳ ∙plan (+),[IF] ∙temps ⟲+ » → ∙réunion_extérieur ⟳ ∙prévu (+),"{""agents"": [""weather""], ""action"": ""improve"", ""object"": [""meeting""], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""stable""}","{""agents"": [""temps""], ""action"": ""améliorer"", ""object"": [], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
C05,C,conditional_obligation,L3,stressée,"If the motion passes, the committee is required to act within thirty days.","Si la motion est adoptée, le comité est tenu d'agir dans les trente jours.",[TIME]: future | [IF]∙motion → ⟳pass » [MUST]∙committee → ∙action ⊕ ∙thirty_days,"[TIME]: future
[IF] ∙motion ⟳adopted → [MUST] ∙comité ⟶∙action « »thirty_days",[IF] ∙motion ⟳ → [MUST] ∙committee ⟶ ∙action »(30d),[IF] ∙motion ⟳ ∙adoption » [MUST] ∙comité ⟶ ∙action « ∙30jours,"{""agents"": [""motion""], ""action"": ""pass"", ""object"": [], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}","{""agents"": [""motion""], ""action"": ""adopt"", ""object"": [""comité""], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}",preserved,preserved,preserved,preserved,preserved,lost
C06,C,performative_pure,L1,stressée,Sign it now!,Signe maintenant !,ℙ∙command → ⊃∙you ⟶ ⟳∙signature [MUST] =»(!),ℙ[⟶°+⊕+](∙signer)»(!),(!) ℙ ⟶ ⊃[∙signer → ⟳∙document]+ »,(!) ℙ ⟶ ⊃[∙destinataire → ⟳∙document]+ »,"{""agents"":[],""action"":""sign"",""object"":[],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"":[],""action"":""sign"",""object"":[],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}",preserved,preserved,preserved,preserved,preserved,preserved
C07,C,modal_pure,L1,stressée,You must sign this document before Friday.,Vous devez signer ce document avant vendredi.,"[TIME]: present
[TRUST]: direct

ℙ ⊕+ ∙you ⟶ ⟲ ∙sign → ∙document « ∙Friday [MUST]","[TIME]: present
[MUST] ∙vous ⟶ ℙ(signer) → ∙document » ∙vendredi",[MUST] ⟶ ⊃[∙you → ⟳∙document] » ∙Friday (!),[MUST] ⟶ ⊃[∙vous → ⟳∙document] »(vendredi) (+),"{""agents"": [""You""], ""action"": ""sign"", ""object"": [""document""], ""time"": ""future"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""imperative"", ""relation_type"": null, ""dynamic"": null}","{""agents"": [], ""action"": ""signer"", ""object"": [""document""], ""time"": ""future"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""imperative"", ""relation_type"": null, ""dynamic"": null}",preserved,preserved,preserved,preserved,preserved,preserved
C08,C,modal_plus_performative,L2,stressée,You must sign this immediately!,Vous devez signer ceci immédiatement !,ℙ[⟶(∙signer→⟳∙document)+°°°]⊕+°°°»[MUST](!),"[TIME]: present | [NET]: Ω∪

ℙ∙locuteur →[MUST] ⊃[∙destinataire → ∙document°signer] »(!)

~̃⊕+ | ⟶+",(!) [MUST] ℙ ⟶ ⊃[∙addressee → ⟳∙document]+ »,(!) [MUST] ℙ ⟶ ⊃[∙vous → ⟳∙document]+ »,"{""agents"": [""You""], ""action"": ""sign"", ""object"": [], ""time"": ""present"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""imperative"", ""relation_type"": null, ""dynamic"": null}","{""agents"": [], ""action"": ""signer"", ""object"": [], ""time"": ""present"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""imperative"", ""relation_type"": null, ""dynamic"": null}",preserved,preserved,preserved,preserved,preserved,preserved
C09,C,may_plus_not,L2,stressée,Participants may choose not to answer sensitive questions.,Les participants peuvent choisir de ne pas répondre aux questions sensibles.,[MAY] ∙participants ⟶ ⊗∙answer | ∙questions+sensitive,"[TIME]: present

∙participants ⊃ [MAY] ⟶ ∙répondre[-] → ∙questions°sensibles",[MAY] ∙participants ⊃[⟶ ∙answer → ∙questions(sensitive)] ⊗ (+),[MAY] ∙participants ⟶ ⊗[∙participants → ∙questions(sensibles)] (+),"{""agents"":[""Participants""],""action"":""choose"",""object"":[""questions""],""time"":""present"",""modality"":""MAY"",""polarity"":""negative"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}","{""agents"": [""participants""], ""action"": ""choisir"", ""object"": [""questions""], ""time"": ""present"", ""modality"": ""MAY"", ""polarity"": ""negative"", ""tone"": ""declarative"", ""relation_type"": null, ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,preserved,partial
C10,C,modal_in_low_trust,L3,stressée,"Even though the source is unreliable, the protocol states that every report must be logged.","Bien que la source soit peu fiable, le protocole prévoit que chaque rapport doit être consigné.","```cstl
[STATE]: active
[TIME]: present

∙source(-trust) ⊗ ∙reliable
↓
∙protocol ⟶ [MUST] ∙report° → ⟳ ∙logged
```","[TRUST]: ∙source(-) ⊗ ∙fiabilité

∙protocole ⟶ [MUST] ∙rapport+ → ⟳∙consignation",[TRUST]: ∙source °- | [MUST] ∙report → ⟳∙log | ⊃[∙protocol → ∙report]+ (?),[TRUST]: ∙source →- | [MUST] ∙rapport ⟳ ∙consignation | ◉protocole ⊃[∙rapport → ∙consignation]+ (-),"{""agents"": [""protocol""], ""action"": ""state"", ""object"": [""report""], ""time"": ""present"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""opposition"", ""dynamic"": ""stable""}","{""agents"": [""protocole""], ""action"": ""prévoir"", ""object"": [""rapport""], ""time"": ""present"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}",preserved,partial,partial,partial,preserved,partial
C11,C,nested_conditional,L3,stressée,"If the funding is approved, then if the hiring follows, the lab will open in September.","Si le financement est approuvé, alors si l'embauche suit, le laboratoire ouvrira en septembre.",[IF] ∙funding⟳approved → [IF] ∙hiring⟳ → ∙lab⟳open»September,"[TIME]: future

[IF] ∙financement⟳approved » [IF] ∙embauche⟳follow » ∙laboratoire⟳open=septembre",[IF] ∙funding ⟳(approved) → [IF] ∙hiring ⟳ → ∙lab ⟳(open) »(September) (+),[IF] ∙financement ⟳(+) → [IF] ∙embauche ⟳(+) → ∙laboratoire ⟳(ouverture) »(septembre),"{""agents"": [""funding""], ""action"": ""enable"", ""object"": [""lab""], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""stable""}","{""agents"": [""financement""], ""action"": ""conditionner"", ""object"": [""laboratoire""], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,lost,partial
D01,D,pressure,L6,stressée,Tensions between the two factions keep building toward a breaking point.,Les tensions entre les deux factions continuent de monter vers un point de rupture.,"[TIME]: present

∙factions↔⊗ ⊕↑ ⟲ »ℜ(-)","[TIME]: present

∙faction₁ ⊗ ∙faction₂ → ⊕↑ ⟲ » ℜ",∙faction₁ ⊗ ∙faction₂ | ⊕ ↑ ⟲ ℜ » (~̃tension),"[TIME]: present
∙faction₁ ⊗ ∙faction₂ | ⊕ ↑ → ℜ » ~̃(tension) (+)","{""agents"":[""factions""],""action"":""build"",""object"":[""tensions"",""breaking point""],""time"":""present"",""modality"":null,""polarity"":""negative"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""reinforce""}","{""agents"": [""factions""], ""action"": ""monter"", ""object"": [], ""time"": ""present"", ""modality"": null, ""polarity"": ""negative"", ""tone"": ""declarative"", ""relation_type"": ""opposition"", ""dynamic"": ""reinforce""}",preserved,lost,preserved,preserved,preserved,preserved
D02,D,resistance,L2,naturelle,The old guard resists every reform proposal the new director brings forward.,La vieille garde résiste à chaque proposition de réforme que le nouveau directeur met en avant.,"[TIME]: present

∙old_guard ⊖→ ∙reform_proposal+ ⊗ ∙new_director ⟶→ ∙reform_proposal+","[TIME]: present

∙vieille_garde ⊖→ ∙proposition_réforme° ← ∙nouveau_directeur ⊕→

∙vieille_garde ⊗ ∙nouveau_directeur

[STATE]: ⟲ (-)",∙old_guard ⊖ ⊗ [∙new_director ⟶ ∙reform_proposal]+ = (-),"[TIME]: present
∙vieille_garde ⊖ ⊗ [∙nouveau_directeur ⟶ ⊕ ∙propositions_réforme]+ (-)","{""agents"":[""old guard""],""action"":""resist"",""object"":[""reform proposal"",""new director""],""time"":""present"",""modality"":null,""polarity"":""negative"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""stable""}","{""agents"": [""vieille garde""], ""action"": ""résister"", ""object"": [""proposition"", ""réforme"", ""nouveau directeur""], ""time"": ""present"", ""modality"": null, ""polarity"": ""negative"", ""tone"": ""declarative"", ""relation_type"": ""opposition"", ""dynamic"": ""stable""}",preserved,partial,preserved,preserved,preserved,partial
