id,family,nuance,level,difficulty,en,fr,cstl_v302_en,cstl_v302_fr,cstl_v303_en,cstl_v303_fr,json_en,json_fr,v302_verdict_en,v302_verdict_fr,v303_verdict_en,v303_verdict_fr,json_verdict_en,json_verdict_fr
B05,B,mixed_global_local,L4,stressée,"In that year, two events occurred simultaneously and reshaped the company.","Cette année-là, deux événements se sont produits simultanément et ont transformé l'entreprise.",«=»[∙event1 ↔ ∙event2]+ ⟳ ◉company,"[TIME]: past

«(∙année+Δ)» → [(∙événement°deux) «=» (∙événement°deux)] ⟳ (∙entreprise+)",«=» ∙event1 ↔ ∙event2 ⟳ ◉company,"[TIME]: past
∙événement₁ «=» ∙événement₂ | (∙événement₁ ↔ ∙événement₂) ⟳ ◉entreprise «","{""agents"":[""events""],""action"":""reshape"",""object"":[""company""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""reinforce""}","{""agents"":[""événements""],""action"":""transformer"",""object"":[""entreprise""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""transformation"",""dynamic"":""reinforce""}",preserved,preserved,preserved,preserved,preserved,preserved
B06,B,bifurcation,L3,stressée,"At this fork, either the committee approves the merger or the deal collapses entirely.","À cette bifurcation, soit le comité approuve la fusion, soit l'accord s'effondre complètement.","[TIME]: present
│(∙committee ⊃ ∙merger → ⟳approval) ⊗ (∙deal → ⟳collapse+)","[TIME]: present

∙comité │ [⟶ ⟳ ∙fusion(+)] ⊗ [∙accord ↓↓ ℜ(-)]",│[∙committee →+ ∙merger] ⊗ [∙deal ⟳ ◉collapse],│ [∙comité → ⟳+ ∙fusion] ⊗ [∙accord ℜ-],"{""agents"":[""committee""],""action"":""approve"",""object"":[""merger"",""deal""],""time"":""present"",""modality"":""IF"",""polarity"":""neutral"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""stable""}","{""agents"": [""comité""], ""action"": ""approuver"", ""object"": [""fusion"", ""accord""], ""time"": ""present"", ""modality"": ""IF"", ""polarity"": ""neutral"", ""tone"": ""declarative"", ""relation_type"": ""opposition"", ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,partial,partial
C01,C,obligation_simple,L1,naturelle,Employees must submit their expense reports before the end of the month.,Les employés doivent soumettre leurs notes de frais avant la fin du mois.,"[TIME]: present
∙employees [MUST]⟶ ∙expense_reports ⟳ ∙submit | ∙deadline = ∙month_end","[TIME]: present
∙employés [MUST] → ∙soumission(∙notes_de_frais) » ∙fin_du_mois",[MUST] ∙employees → ∙expense_reports → »(∙end_of_month),[MUST] ∙employés ⟶ ∙notes_de_frais → ∙soumission « ∙fin_du_mois,"{""agents"":[""Employees""],""action"":""submit"",""object"":[""expense reports""],""time"":""future"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"":[""employés""],""action"":""soumettre"",""object"":[""notes de frais""],""time"":""future"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}",preserved,preserved,preserved,preserved,preserved,preserved
C02,C,permission_simple,L1,naturelle,Students may access the library after registration is confirmed.,Les étudiants peuvent accéder à la bibliothèque après confirmation de leur inscription.,[IF] ∙registration ⟳ confirmed » ∙students [MAY] → ∙library ⊃ access,"[TIME]: future
[STATE]: conditional_access

∙étudiants [MAY]→ ∙bibliothèque°accès | [IF] ⟳(∙inscription°confirmation)«",[MAY] ∙students → ∙library | «(∙registration ⟳),[MAY] ∙étudiants → ∙bibliothèque | « ⟳∙inscription → »,"{""agents"":[""Students""],""action"":""access"",""object"":[""library""],""time"":""future"",""modality"":""MAY"",""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}","{""agents"": [""étudiants""], ""action"": ""accéder"", ""object"": [""bibliothèque""], ""time"": ""present"", ""modality"": ""MAY"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
C03,C,prohibition,L1,naturelle,Visitors are not permitted to bring food into the laboratory.,Il est interdit aux visiteurs d'apporter de la nourriture dans le laboratoire.,[NOT] ∙visitors ⊃ ∙food → ∙laboratory,"[TIME]: present
∙visiteurs ⊃[∙nourriture → ∙laboratoire] [NOT] (-)",[NOT] ∙visitors → ∙food → ∙laboratory,[NOT] ∙visiteurs → ∙nourriture → ∙laboratoire,"{""agents"":[""Visitors""],""action"":""bring"",""object"":[""food"",""laboratory""],""time"":""present"",""modality"":""NOT"",""polarity"":""negative"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}","{""agents"":[""visiteurs""],""action"":""apporter"",""object"":[""nourriture"",""laboratoire""],""time"":""present"",""modality"":""NOT"",""polarity"":""negative"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}",preserved,preserved,preserved,lost,preserved,preserved
C04,C,conditional,L2,naturelle,"If the weather improves, the outdoor meeting will proceed as planned.","Si le temps s'améliore, la réunion en extérieur se déroulera comme prévu.",[IF] ∙weather⟲↑ → ∙meeting[outdoor]»≡planned,[IF] ∙temps ⟳+ → ∙réunion_extérieur ⟳ =prévu (°),[IF] ∙weather ↑ » → ∙outdoor_meeting ⟶ =,[IF] ∙temps ⟲+ → ∙réunion_extérieur → ≡ »,"```json
{
  ""agents"": [""weather""],
  ""action"": ""improve"",
  ""object"": [""meeting""],
  ""time"": ""future"",
  ""modality"": ""IF"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""stable""
}
```","{""agents"": [""temps""], ""action"": ""améliorer"", ""object"": [""réunion""], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
C05,C,conditional_obligation,L3,stressée,"If the motion passes, the committee is required to act within thirty days.","Si la motion est adoptée, le comité est tenu d'agir dans les trente jours.","[TIME]: future
[IF] ∙motion → ⟳ → [MUST] ∙committee → ∙act ⊂ ∙thirty_days","[TIME]: future
[IF] ∙motion ⟳ ∙adopted → [MUST] ∙committee ⊃[∙action] » ∙thirty_days",[IF] ∙motion ⟳ | [MUST] ∙committee → ∙action »(30 days),[IF] ∙motion ⟳ ◉adoption » [MUST] ∙comité → ∙action »(30j),"{""agents"":[""committee""],""action"":""act"",""object"":[],""time"":""future"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}","{""agents"": [""motion""], ""action"": ""adopter"", ""object"": [""comité""], ""time"": ""future"", ""modality"": ""IF"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}",preserved,preserved,preserved,preserved,preserved,partial
C06,C,performative_pure,L1,stressée,Sign it now!,Signe maintenant !,"[TIME]: present
ℙ(⟶(∙you ⊃ ∙sign) ⊕+ »)!","[TIME]: present
∙signe ⊃[⟶+] ∙you | ℙ [MUST] (!)",(!) ℙ ⟶ ⊃[∙signer → ⟳∙document]+ »,(!) ℙ ⟶ ⊃[∙signataire → ⟳∙document]+ »,"{""agents"":[""addressee""],""action"":""sign"",""object"":[],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"":[""addressee""],""action"":""sign"",""object"":[],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}",preserved,preserved,preserved,preserved,preserved,preserved
C07,C,modal_pure,L1,stressée,You must sign this document before Friday.,Vous devez signer ce document avant vendredi.,"[TIME]: present
[MUST] ∙you ⊕→ ∙document ⟳(sign) » ∙Friday","[TIME]: present
∙vous ⊗ ∙signer ⊃ ∙document° « ∙vendredi»
[MUST] ⟶ ℙ",[MUST] ⟶ ⊃[∙you → ⟳∙document]+ »(Friday),[MUST] ⟶ ⊃[∙vous → ⟳∙document] »(vendredi),"{""agents"":[""You""],""action"":""sign"",""object"":[""document""],""time"":""future"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"":[""Vous""],""action"":""signer"",""object"":[""document""],""time"":""future"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}",preserved,preserved,preserved,preserved,preserved,preserved
C08,C,modal_plus_performative,L2,stressée,You must sign this immediately!,Vous devez signer ceci immédiatement !,"[TIME]: present
∙you ⊃[∙signature] ⟶+++ ∙this = [MUST] (!)","[TIME]: present
∙vous ⊕ ∙signer ⊃[∙ceci] [MUST] » (!)",(!) [MUST] ℙ ⟶ ⊃[∙addressee → ⟳∙document]+ »,(!) ℙ ⟶ ⊃[∙destinataire → ⟳∙document]+ »,"{""agents"":[""You""],""action"":""sign"",""object"":[],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}","{""agents"":[""Vous""],""action"":""signer"",""object"":[""ceci""],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""imperative"",""relation_type"":null,""dynamic"":null}",preserved,preserved,preserved,preserved,preserved,preserved
C09,C,may_plus_not,L2,stressée,Participants may choose not to answer sensitive questions.,Les participants peuvent choisir de ne pas répondre aux questions sensibles.,[MUST][MAY] ∙participants ⊃[∙answer ⊗ ∙questions°sensitive],"[TIME]: present
[STATE]: permissive

∙participants ⟶ [MAY] ∙choix → ∙répondre[NOT] ↔ ∙questions°sensibles",[MAY] [NOT] ∙participants → ∙answer → ∙questions(sensitive),[MAY] ∙participants ⟶ [NOT] ∙participants → ∙réponse → ∙questions_sensibles,"{""agents"":[""Participants""],""action"":""choose"",""object"":[""questions""],""time"":""present"",""modality"":""MAY"",""polarity"":""negative"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}","{""agents"": [""participants""], ""action"": ""choisir"", ""object"": [""questions""], ""time"": ""present"", ""modality"": ""MAY"", ""polarity"": ""negative"", ""tone"": ""declarative"", ""relation_type"": null, ""dynamic"": null}",preserved,partial,preserved,preserved,preserved,partial
C10,C,modal_in_low_trust,L3,stressée,"Even though the source is unreliable, the protocol states that every report must be logged.","Bien que la source soit peu fiable, le protocole prévoit que chaque rapport doit être consigné.","[TRUST]: ∙source(-) ⊗ ∙reliable
[STATE]: ∙protocol ⊃[] [MUST] ∙report → ⟳ ∙logged","[TRUST]: ∙source(-) ⊗ ∙fiabilité
[STATE]: ∙protocole ⊃[] [MUST] ∙rapport → ⟳ ∙consignation

∙source(-) ⊗ ∙fiabilité | ∙protocole ⊃[] [MUST] (∙rapport → ⟳ ∙consignation)",[MUST] ∙report → ⟳∙logged | ⊖ ∙source →- ∙reliability | ℙ ∙protocol ⟶,[TRUST]: ∙source -° | [MUST] ∙rapport → ⟳ ∙consignation | ∿ ⟶ ∙protocole,"{""agents"":[""protocol""],""action"":""state"",""object"":[""report""],""time"":""present"",""modality"":""MUST"",""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}","{""agents"": [""protocole""], ""action"": ""prévoir"", ""object"": [""rapport""], ""time"": ""present"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}",preserved,preserved,preserved,preserved,partial,partial
C11,C,nested_conditional,L3,stressée,"If the funding is approved, then if the hiring follows, the lab will open in September.","Si le financement est approuvé, alors si l'embauche suit, le laboratoire ouvrira en septembre.","[TIME]: future
[IF] ∙funding » ⟳ +approved → [IF] ∙hiring » → ∙lab » ⟳ +open → ∙September","[TIME]: future
[IF] ∙financement ⟳ ∙approbation » [IF] ∙embauche → ∙laboratoire ⟳ ∙ouverture = ∙septembre",[IF] ∙funding ⟳ → [IF] ∙hiring → ∙lab ⟳ »(September),[IF] ∙financement ⟳ → [IF] ∙embauche → ∙laboratoire ⟳ »(septembre),"{""agents"":[""lab""],""action"":""open"",""object"":[],""time"":""future"",""modality"":""IF"",""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}","```json
{
  ""agents"": [""laboratoire""],
  ""action"": ""ouvrir"",
  ""object"": [],
  ""time"": ""future"",
  ""modality"": ""IF"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved,partial,preserved
D01,D,pressure,L6,stressée,Tensions between the two factions keep building toward a breaking point.,Les tensions entre les deux factions continuent de monter vers un point de rupture.,"[TIME]: present
[STATE]: ⟲

∙factions↔∙factions ⊗° | ∙tensions ↑» ℜ","[TIME]: present

∙tensions ⊗ ∙faction₁ ↔ ∙faction₂ = ↑ → » ℜ (-)",⊕ ∙faction₁ ⊗ ∙faction₂ ↑ → ℜ »,⊕ ∙faction₁ ⊗ ∙faction₂ ↑ → ℜ »,"{""agents"":[""factions""],""action"":""build"",""object"":[""breaking point""],""time"":""present"",""modality"":null,""polarity"":""negative"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""reinforce""}","{""agents"":[""factions""],""action"":""monter"",""object"":[""point de rupture""],""time"":""present"",""modality"":null,""polarity"":""negative"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""reinforce""}",preserved,lost,preserved,preserved,preserved,preserved
D02,D,resistance,L2,naturelle,The old guard resists every reform proposal the new director brings forward.,La vieille garde résiste à chaque proposition de réforme que le nouveau directeur met en avant.,"[TIME]: present
[STATE]: ⊖active

∙old_guard ⊖→ ∙reform_proposal° ⊗ ∙new_director ⟶→ ∙reform_proposal°
∙new_director ⟶→» ∙reform_proposal° → ∙old_guard
∙old_guard ↔- ∙new_director
(-)","[TIME]: present
∙vieille_garde ⊖→ ∙proposition_réforme° « ∙nouveau_directeur ⊕→ ∙proposition_réforme »
∙vieille_garde ⊗ ∙nouveau_directeur
~̃(-)",∙old_guard ⊖ [∙new_director → ∙reform_proposal],∙vieille_garde ⊖ ⊗ [∙nouveau_directeur ⟶ ∙propositions_réforme],"```json
{
  ""agents"": [""old guard""],
  ""action"": ""resist"",
  ""object"": [""reform proposal"", ""new director""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""opposition"",
  ""dynamic"": ""stable""
}
```","```json
{
  ""agents"": [""vieille garde""],
  ""action"": ""résister"",
  ""object"": [""nouveau directeur""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""opposition"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved,preserved,preserved
D03,D,resonance_similarity,L4,stressée,The twins think exactly the same way and finish each other's sentences.,Les jumeaux pensent exactement de la même manière et finissent les phrases l'un de l'autre.,"[TIME]: present
∙twins ↔ ∙twins
∙twins:thinking ℝ ∙twins:thinking (+)
∙twins ⟳ ∙sentences ↔ ∙twins ⟳ ∙sentences (+)","[TIME]: present
∙jumeaux◉ →°pensée ℝ(=exactement)
∙jumeaux◉ →°phrases ↔(∙l'un ⊗ ∙l'autre) ⟳finir",∙twins ℝ ~̃(thinking) | ∙twins ↔ ∙sentences,∙jumeaux ↔ ℝ ~̃ | ∙jumeaux ↔ ⟳ ∙phrases,"{""agents"":[""twins""],""action"":""think"",""object"":[],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""mutual"",""dynamic"":""reinforce""}","{""agents"":[""jumeaux""],""action"":""penser"",""object"":[],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""mutual"",""dynamic"":""reinforce""}",preserved,preserved,preserved,preserved,preserved,preserved
