id,nuance,sentence,cstl_v301,json_v301,cstl_verdict_v301,json_verdict_v301,justification_v301
F01,pressure_toward_rupture,Tensions between the two factions keep building toward a breaking point.,"[TIME]: present
[STATE]: escalating_conflict

two_factions | SYN | conflict_dyad | 0.95 | shallow
tensions | ARR | two_factions | 0.9 | surface
tensions | AMP+ | tensions | 0.85 | shallow
tensions | ⊕ | breaking_point | 0.88 | shallow
current_state | « | breaking_point | 0.82 | shallow
tensions | κ | rupture_potential | 0.8 | deep
building_process | CYC | intensification | 0.75 | shallow
breaking_point | ψ⟶ | imminent_crisis | 0.78 | shallow","{""subject"": ""tensions"", ""actors"": ""two factions"", ""action"": ""building"", ""direction"": ""toward a breaking point"", ""intensity"": ""increasing"", ""situation_type"": ""conflict"", ""temporal_aspect"": ""ongoing"", ""outcome_status"": ""imminent_crisis""}",preserved,partial,"CSTL explicitly encodes pressure_toward_rupture through the combination of AMP+ (amplification), ⊕ (convergence toward breaking_point), « (approaching), and κ (causal link to rupture_potential), while JSON captures 'building toward breaking point' descriptively but lacks explicit encoding of the pressure-rupture causal mechanism."
F02,resistance,The old guard resists every reform proposal the new director puts forward.,"[NET]: political_conflict_01
[TRUST][old_guard] = 0.3
[TRUST][new_director] = 0.7
[STATE]: institutional_gridlock
[TIME]: present

new_director | ARR | reform_proposal | 0.9 | shallow
reform_proposal | ⊕ ⟶ | institutional_change | 0.8 | shallow
old_guard | INH ⊖ | reform_proposal | 0.95 | deep
old_guard | ANT | new_director | 0.85 | shallow
reform_proposal « | resistance_event | » failure | 0.7 | shallow
old_guard | CYC | resistance_pattern | 0.9 | deep
new_director | ⊕ ⟶ | reform_proposal | 0.85 | shallow
old_guard | ℝ ⊖ | institutional_change | 0.8 | deep","{""subject"":""the old guard"",""action"":""resists"",""object"":""every reform proposal"",""proposal_source"":""the new director"",""proposal_action"":""puts forward"",""conflict_type"":""institutional resistance"",""dynamic"":""old vs new leadership""}",preserved,preserved,"Both encodings capture resistance clearly—CSTL through explicit INH⊖ (inhibition) and ANT (antagonism) relations with high weights plus a 'resistance_pattern' cycle, while JSON directly states 'resists' as the action and 'institutional resistance' as conflict type."
F03,catalysis,The scandal accelerated changes that were going to happen anyway.,"[TIME]: past

scandal | AMP | changes | 0.85 | shallow
changes | [MUST] | happen | 0.80 | shallow
scandal | « | changes | 0.75 | surface
scandal | κ | changes | 0.90 | shallow
changes | ℝ | inevitability | 0.80 | shallow","{""event_type"": ""scandal"", ""effect"": ""accelerated changes"", ""change_nature"": ""inevitable"", ""implication"": ""changes were already going to occur"", ""scandal_role"": ""catalyst"", ""temporal_relationship"": ""scandal preceded changes""}",preserved,preserved,"Both encodings capture catalysis: CSTL uses the explicit κ (catalyst) operator with high confidence, while JSON directly labels 'scandal_role': 'catalyst' and notes the changes were already inevitable, clearly indicating the scandal accelerated rather than caused them."
P01,performative,I hereby resign from my position effective immediately.,"[NET]: resignation_declaration
[STATE]: employment_termination
[TIME]: present
[TRUST][speaker] = 0.95

speaker | ℙ | resignation | 0.95 | deep
speaker | ⟶ | position_departure | 0.95 | deep
resignation | ATT | immediacy | 1.0 | surface
speaker | ⊖ | current_position | 0.9 | shallow
resignation | Δ | [here,now] | 0.95 | surface
speaker | [MUST] | employment_end | 0.9 | shallow
declaration | κ | employment_status_change | 0.95 | deep","{""document_type"": ""resignation"", ""action"": ""resign"", ""position"": ""current position"", ""effective_date"": ""immediately"", ""tone"": ""formal"", ""is_formal_declaration"": true}",preserved,partial,"CSTL captures performativity through the ℙ (performative) relation and κ (causal) link showing the speech act itself causes the status change, while JSON merely labels it as 'formal_declaration' without encoding that the utterance constitutes the act."
P02,intention,She intends to finish the paper before the conference deadline.,"[TIME]: future
[TRUST][she] = 0.9

she | ψ⟶ | finish_paper | 0.95 | deep
finish_paper | « | conference_deadline | 0.9 | shallow
she | ⊕ | finish_paper | 0.8 | shallow
conference_deadline | κ | finish_paper | 0.85 | shallow","{""subject"": ""she"", ""action"": ""intends to finish"", ""object"": ""the paper"", ""temporal_reference"": ""before the conference deadline"", ""intent"": ""completion"", ""time_constraint"": ""conference deadline""}",preserved,preserved,"CSTL captures intention through the ψ⟶ (psychological state/intention) operator with high confidence (0.95), while JSON explicitly labels 'intends to finish' as the action and includes an 'intent' field marking 'completion'."
P03,emotional_modulation,"He said yes, but with visible reluctance in his voice.","[TIME]: past
[STATE]: agreement_with_reservation

he | ARR | yes | 0.95 | surface
he | ψ⟶ | agreement | 0.85 | shallow
reluctance | INH- | agreement | 0.75 | deep
reluctance | ATT | voice | 0.90 | surface
he | ⊖ | affirming | 0.70 | deep
surface_response | ANT | internal_state | 0.80 | shallow","{""speaker"":""he"",""statement"":""yes"",""response_type"":""affirmative"",""tone"":""reluctant"",""reluctance_visible"":true,""communication_medium"":""voice""}",preserved,partial,"CSTL captures the emotional modulation through the inhibition relation (reluctance INH- agreement), the negative valence marker (⊖ affirming), and the explicit tension between surface_response and internal_state at different depths; JSON notes 'tone: reluctant' as a flat attribute but loses the dynamic tension between what was said and how it was felt."
N01,asymmetric_trust,Alice trusts Bob completely but remains wary of Carol.,"[NET]: trust_dynamics_01
[TRUST][Alice→Bob] = 1.0
[TRUST][Alice→Carol] = 0.2
[STATE]: interpersonal_assessment
[TIME]: present

Alice | ATT+ | Bob | 1.0 | deep
Alice | ψ⟶ | trust(Bob) | 1.0 | deep
Alice | ATT- | Carol | 0.8 | shallow
Alice | ψ~̃ | wariness(Carol) | 0.85 | shallow
trust(Bob) | ANT | wariness(Carol) | 0.9 | surface
Alice | ⊕ | Bob | 0.95 | deep
Alice | ℝ | Carol | 0.75 | shallow","{""subject_1"": ""Alice"", ""relationship_1_type"": ""trust"", ""relationship_1_target"": ""Bob"", ""relationship_1_degree"": ""complete"", ""subject_2"": ""Alice"", ""relationship_2_type"": ""wariness"", ""relationship_2_target"": ""Carol""}",preserved,preserved,"Both encodings explicitly represent Alice's differential trust toward Bob (complete/1.0) versus wariness toward Carol, capturing the asymmetric trust structure; CSTL adds quantified intensity and relational depth while JSON captures the core asymmetry through distinct relationship types and targets."
N02,trust_degradation,"The partnership started on solid trust, but recent events have eroded it.","[NET]: partnership_erosion
[TIME]: present
[STATE]: trust_degraded

partnership | ARR | solid_trust | 0.9 | deep
solid_trust | [TIME:past] | foundation | 0.85 | shallow
recent_events | ARR | erosion | 0.9 | deep
erosion | INH | solid_trust | 0.85 | deep
partnership « recent_events | = | trust_degradation | 0.9 | deep
solid_trust » erosion | ⊖ | current_state | 0.85 | deep
[TRUST][partnership] = 0.3
recent_events | ψ⊃Δ | trust_level | 0.8 | shallow","{""subject"": ""partnership"", ""initial_state"": ""solid trust"", ""initial_sentiment"": ""positive"", ""change_trigger"": ""recent events"", ""change_type"": ""erosion"", ""current_state"": ""diminished trust"", ""trajectory"": ""declining"", ""temporal_contrast"": ""past_vs_present""}",preserved,preserved,"Both encodings explicitly capture the temporal contrast between initial solid trust and subsequent erosion/degradation, with CSTL using formal operators (INH, ⊖, declining TRUST value) and JSON using explicit fields (initial_state, change_type: erosion, trajectory: declining) to represent trust_degradation."
X01,modal+temporal+trust,"If the board agrees, Alice must report to Bob by Friday; she trusts him to keep it confidential.","[NET]: board_decision_001
[TRUST][Alice] = 0.85
[STATE]: conditional_reporting
[TIME]: future

board | [IF] ARR | agreement | 0.95 | shallow
agreement | « | Alice.report | 0.90 | shallow
Alice | [MUST] ARR | Bob | 0.95 | deep
Alice.report | ATT | Friday | 0.90 | surface
Alice.report | ⟶ | Bob | 0.85 | shallow
Alice | TRUST | Bob | 0.85 | deep
Bob | [MUST] INH | disclosure | 0.80 | deep
confidentiality | ψ~̃ | Alice | 0.75 | shallow","{""condition"": ""board agrees"", ""required_action"": ""report"", ""actor"": ""Alice"", ""recipient"": ""Bob"", ""deadline"": ""Friday"", ""trust_relationship"": ""Alice trusts Bob"", ""trust_subject"": ""confidentiality""}",preserved,partial,"CSTL explicitly encodes the modal obligation ([MUST] ARR), temporal constraint (ATT Friday with future [TIME]), and trust relationship (TRUST with 0.85 weight and deep binding), while JSON captures the semantic content but loses the modal force distinction (must vs should), trust intensity/depth, and the structural relationship between conditionality and obligation."
X02,force+confidence+modal,"The evidence strongly suggests fraud, though not conclusively, so the auditor may but is not required to investigate further.","[NET]: audit_review_001
[TRUST][auditor] = 0.7
[STATE]: deliberation
[TIME]: present

evidence | ARR | fraud | 0.85 | deep
evidence | ⊕ | fraud_conclusion | 0.85 | deep
evidence | [NOT] | conclusive_proof | 0.75 | shallow
auditor | [MAY] | investigate_further | 0.9 | surface
auditor | [NOT][MUST] | investigate_further | 0.9 | surface
evidence_strength | INH- | obligation_to_act | 0.7 | deep
evidence | ψ⟶ | auditor_discretion | 0.8 | shallow
fraud | ψ~̃ | concern | 0.6 | surface","{""topic"": ""audit_findings"", ""evidence_type"": ""fraud_indicators"", ""evidence_strength"": ""strong"", ""conclusion_certainty"": ""not_conclusive"", ""actor"": ""auditor"", ""recommended_action"": ""investigate_further"", ""action_requirement"": ""optional"", ""action_discretion"": ""permitted_but_not_mandatory""}",preserved,partial,"CSTL captures the epistemic gradient (0.85 confidence), explicit modal operators ([MAY] and [NOT][MUST]), and the causal link between evidence strength and discretion; JSON labels 'strong' and 'optional' convey the gist but lose the precise confidence level and the explicit logical relationship between non-conclusiveness and permission without obligation."
